match_id,hero_id,gold_t,lane,lane_role,radiant_team,dire_team,radiant_win
7524401509,1,"[60, 308, 617, 973, 1441, 1682, 1932, 2216, 2564, 3253, 3725, 4428, 4983, 5690, 6254, 6719, 7783, 8712, 9511, 10152, 11513, 12799, 13099, 14139, 15065, 16329, 17442, 17537, 17970, 19225, 19895, 21110, 22862, 24019, 24889, 25690, 26233, 26897, 28101, 28775, 29870, 31472, 33097, 33932, 35939, 37105, 37211, 38548, 39935, 42104, 43058, 44358, 44652]",3.0,1.0,"[13, 10, 100, 30, 138]","[1, 25, 21, 112, 20]",False
7548252414,2,"[0, 205, 448, 831, 1235, 1491, 1780, 2272, 2657, 3677, 4111, 4647, 5279, 6037, 6949, 7381, 8181, 9513, 10362, 10622, 11773, 12145, 12882, 13306, 14065, 14539, 14634, 14968, 15168, 15734, 16179, 16955, 17235, 17735, 18004, 18247, 18347, 18969, 19069, 20418, 20518, 21077, 21644, 22211, 22833, 23416, 23639, 24348, 24555, 24903, 25135, 26877, 27533, 28469, 28948, 29054, 29160, 29520, 30565, 30806, 31468, 31812, 32408, 34596, 35451, 35880, 36407, 37190, 37302, 37550, 37890, 38529, 39465, 41564, 41838, 42247, 42589, 43728, 44291, 44404, 44666, 44914, 45395, 46274, 46702, 47617, 49119, 50018]",3.0,3.0,"[67, 2, 22, 20, 40]","[8, 97, 43, 27, 121]",True
7559833511,3,"[0, 170, 285, 375, 505, 595, 706, 967, 1147, 1237, 1372, 1503, 1683, 2093, 2490, 2585, 2806, 2900, 2995, 3380, 3654, 3954, 4352, 4447, 4542, 4708, 4803, 5017, 5238, 5532, 5628, 6021, 6365, 7028, 7502, 7650, 7850, 7950, 8149, 8249, 8607, 9225, 9325, 9560, 10022, 10960, 11614, 11992, 12901, 13483, 13728, 13960]",3.0,1.0,"[48, 76, 97, 65, 110]","[25, 13, 102, 26, 3]",False
7600037606,4,"[0, 287, 666, 1028, 1313, 1533, 1794, 2239, 2526, 3291, 3771, 4161, 4730, 5238, 5709, 6577, 7596, 8514, 9382, 10283, 11038, 12222, 13039, 14012, 14836, 15340, 16097, 16297, 16447, 17323, 17840, 18230, 18788, 19745, 20405, 21118, 22051, 22935, 23849, 24430, 25344, 26371, 27443, 27866, 28387, 31301, 32560, 34048, 37215, 38538]",1.0,1.0,"[4, 129, 31, 126, 27]","[110, 86, 41, 34, 96]",True
7611209103,5,"[0, 302, 437, 652, 806, 1027, 1389, 1670, 1805, 2120, 2602, 2848, 3303, 3485, 3870, 4348, 4675, 4780, 5084, 5681, 5909, 6077, 6366, 6566, 6821, 7100, 8201, 8872, 9159, 9255, 9829, 9974, 10074, 10389, 10489, 10626, 10894, 10994, 11614, 12014, 12213, 12403, 12503, 12822, 13031, 13592, 13698, 13949, 14055, 14395, 14788, 15020, 15125, 15289, 15395, 16135, 16241]",3.0,1.0,"[44, 62, 28, 121, 85]","[109, 120, 101, 5, 129]",False
7535614616,6,"[0, 663, 1026, 1573, 1844, 2405, 2615, 2967, 3392, 3544, 4025, 4420, 4896, 5348, 5733, 6266, 6671, 7196, 8480, 9435, 10415, 11422, 12660, 13324, 14249, 14958, 15647, 16295, 16945, 17492, 18065, 19021, 19923, 20746, 20894, 21414, 22070, 22357, 22457, 23251, 23812, 25438, 27289, 27739, 28488, 28699, 28805, 28911, 29483, 30241, 30882, 31034]",1.0,1.0,"[6, 31, 29, 49, 100]","[63, 113, 2, 22, 102]",False
7550385619,7,"[0, 244, 474, 784, 1150, 1507, 1753, 2427, 2685, 3112, 3511, 4166, 4681, 5021, 5596, 6158, 7424, 8061, 8155, 8728, 9030, 9894, 10202, 10723, 11131, 11672, 12239, 12747, 13085, 14286, 14819, 16170, 16535, 17697, 18694, 19317, 20790, 20989, 21437, 22071, 23735, 24321, 24794, 25370, 25820, 26248, 26785, 27709, 27864, 28130, 29533, 30502, 31051, 32024, 33207]",2.0,2.0,"[41, 53, 7, 121, 106]","[49, 98, 19, 58, 21]",True
7548252414,8,"[0, 205, 472, 799, 1204, 1587, 1995, 2579, 3091, 3333, 3986, 4237, 4754, 5208, 5659, 6371, 7217, 7477, 8184, 9194, 9457, 9816, 10606, 10921, 11389, 12282, 12596, 13119, 13570, 14017, 14113, 14635, 15505, 16953, 17508, 18345, 18649, 19875, 21203, 22206, 22306, 22911, 23497, 24525, 25809, 26609, 27617, 27906, 28562, 29349, 30047, 31605, 32273, 32579, 32937, 33721, 34000, 34106, 34386, 34899, 35004, 35408, 36294, 39276, 40228, 40334, 40446, 41116, 41735, 42033, 42298, 43600, 44808, 45567, 48030, 48706, 49190, 49990, 50692, 51183, 51739, 52171, 52621, 53850, 54712, 57008, 58073, 59104]",3.0,1.0,"[67, 2, 22, 20, 40]","[8, 97, 43, 27, 121]",False
7625796211,9,"[0, 301, 443, 533, 713, 803, 1305, 1405, 1544, 1709, 2015, 2151, 2407, 2648, 2802, 3135, 3425, 3617, 4219, 4651, 4976, 5579, 5788, 6569, 6664, 6759, 6883, 6978, 7074, 7388, 7646, 7924, 8307, 9112, 9564, 9664, 10006, 10260, 10418, 10704, 10988, 11212, 11760, 12145, 12489, 12815, 13006, 13517, 13763, 14273, 15221, 15590, 17432, 18138, 18502, 18608, 18883, 19203, 19333, 19609, 19746, 20258, 20632, 21096, 21685, 22620, 23399, 23716, 24149, 25547, 26795, 28248]",3.0,3.0,"[85, 44, 97, 9, 126]","[109, 35, 104, 86, 110]",False
7570812500,10,"[0, 242, 521, 717, 1095, 1546, 1893, 2256, 2796, 3431, 3763, 4589, 5462, 6242, 6650, 7328, 8143, 8777, 10206, 10812, 11424, 12149, 13245, 14177, 14977, 15895, 16910, 17004, 17660, 18971, 19974, 21741, 22765, 23562, 23842, 24185, 25738, 26934, 27702, 28316, 28779, 29694, 30796, 31608, 32589, 33254, 34206, 35095, 36424, 37493, 38281, 40249, 41411, 41913, 42352, 43387, 44053, 45536, 46345, 46618, 46724, 47329, 48103]",1.0,1.0,"[123, 17, 38, 10, 21]","[95, 57, 37, 98, 86]",False
7532211815,11,"[0, 256, 622, 840, 1190, 1461, 1771, 1990, 2355, 2760, 3023, 3543, 3980, 4581, 5283, 6137, 6691, 7230, 8161, 9335, 10037, 10655, 11337, 12262, 13024, 13857, 14441, 14642, 15097, 16028, 16124, 17045, 17871, 18563, 19746, 20682, 20782, 21577, 22135, 22898, 23919, 24794, 26037, 27321, 28909, 30750, 32401, 33018, 33344, 33782, 34552, 36136]",1.0,1.0,"[60, 17, 19, 102, 11]","[21, 79, 58, 23, 76]",True
7541933305,12,"[60, 288, 776, 987, 1491, 1795, 2212, 2715, 3160, 3735, 4368, 4830, 5607, 6342, 7141, 7767, 8404, 9275, 10069, 10570, 11564, 12247, 12882, 13338, 13994, 15274, 15928, 16488, 17415, 18274, 19572, 20945, 22260, 23105, 24285, 24475, 25292, 26369, 27067, 28175, 29154, 29389, 29666, 30741, 31753, 32985, 33943, 34545, 35593, 36892, 37721, 38893, 39680, 42001, 44142, 45342, 46527, 49720]",3.0,1.0,"[10, 45, 23, 19, 47]","[12, 65, 74, 96, 20]",True
7632649002,13,"[0, 170, 437, 809, 1102, 1442, 1683, 2181, 2664, 3250, 3717, 4022, 4534, 4952, 5325, 5998, 6649, 7307, 7744, 8342, 8948, 9789, 10653, 11001, 11346, 11722, 12260, 12796, 13214, 14112, 14249, 15448, 15980, 16080, 16440, 16540, 17245, 18099, 18948, 19409, 20676, 22028, 22606, 23492, 24718, 25895, 27482, 28529, 29440, 30477, 31150, 32108, 32214, 32320, 33470, 34385, 36037, 36464, 36570, 37087, 37553, 38855, 39332, 41293]",2.0,2.0,"[110, 19, 137, 41, 121]","[13, 70, 129, 9, 79]",False
7522545002,14,"[0, 239, 532, 874, 1035, 1222, 1395, 1485, 1795, 1984, 2361, 2541, 3148, 3351, 3646, 4186, 4491, 4649, 5003, 5206, 5405, 5506, 5685, 6319, 6414, 6599, 7114, 7375, 8017, 8288, 8384, 8754, 9946, 10635, 10825, 11192, 11292, 11491, 11711, 12122, 12979, 13079, 14764, 15098, 15487, 17176, 17758, 18029, 18179, 18353, 18489, 18669, 18775, 19170, 20855, 21355]",1.0,1.0,"[93, 20, 47, 110, 14]","[70, 25, 29, 27, 121]",False
7541784709,15,"[0, 329, 641, 1003, 1425, 1882, 2184, 3083, 3501, 4149, 4325, 4572, 4833, 5595, 6019, 6630, 7183, 8078, 8744, 9652, 10480, 11055, 11844, 12527, 13097, 13598, 14059, 14568, 14907, 15552, 16679, 17017, 17195, 18119, 18309, 18563, 20082, 20645, 21124, 21950, 23567, 23902, 25311, 25751, 26925, 27317, 28206, 28755, 30441, 30908, 31570, 32228, 33352, 33838, 34380, 35078, 35948, 36615, 38322, 38957, 40446, 41435, 42406, 44712]",2.0,2.0,"[137, 65, 83, 38, 21]","[96, 41, 15, 20, 87]",True
7573302602,16,"[0, 291, 537, 1255, 1671, 1918, 2148, 2500, 2881, 3090, 3572, 3991, 4838, 5557, 5885, 6896, 7482, 7768, 8100, 9046, 9635, 9898, 10749, 11789, 12318, 12718, 12894, 13865, 14673, 15269, 16053, 16866, 17942, 18807, 20085, 20824, 22336, 22733, 22833, 23554, 24883, 24983, 26169, 26655, 27813, 28398, 29549, 30856, 31341, 32503]",1.0,3.0,"[46, 29, 121, 31, 39]","[23, 95, 101, 16, 71]",True
7570812500,17,"[0, 277, 602, 970, 1370, 1682, 2193, 2752, 3351, 3889, 4443, 4780, 5879, 6597, 6958, 7546, 8444, 9044, 9845, 10200, 10899, 11675, 12381, 13027, 14038, 14426, 15105, 15802, 16173, 16378, 16773, 17086, 17650, 17750, 18487, 18631, 18731, 19328, 19836, 20405, 21232, 21422, 22096, 22813, 23597, 24466, 24949, 25415, 25521, 26388, 26728, 27789, 29059, 29895, 30001, 30819, 30925, 31830, 32365, 32827, 33894, 34757, 34862]",2.0,2.0,"[123, 17, 38, 10, 21]","[95, 57, 37, 98, 86]",False
7619853714,18,"[0, 206, 707, 997, 1393, 1917, 2263, 2455, 3005, 3626, 4100, 5029, 5635, 6454, 6973, 8168, 8974, 10045, 11264, 12141, 13081, 13332, 14619, 15134, 16208, 17193, 17888, 18946, 19469, 20577, 21654, 22587, 23296, 23805, 25333, 26492, 26966, 27772, 29010, 29643, 29743, 29985, 30688, 30933, 31434, 32445, 33611, 34928, 35541, 35763, 37067, 37630, 37736, 37842, 37948, 39361, 39467, 40712, 41197, 41453]",1.0,1.0,"[18, 90, 106, 138, 121]","[70, 129, 52, 43, 19]",False
7632649002,19,"[0, 329, 665, 1003, 1429, 1808, 2272, 2581, 3004, 3561, 4063, 4694, 4836, 5138, 5754, 6009, 6653, 7256, 7887, 8296, 8738, 9872, 10389, 11273, 11768, 12658, 13065, 14039, 14826, 16243, 16564, 17817, 19047, 19632, 21745, 22869, 23539, 24065, 24927, 25328, 25848, 26737, 27363, 27896, 27996, 28096, 28202, 28900, 29006, 29111, 29748, 31182, 31825, 31931, 32441, 33418, 34365, 35071, 35414, 36963, 37204, 37728, 38339, 40669]",2.0,2.0,"[110, 19, 137, 41, 121]","[13, 70, 129, 9, 79]",True
7548252414,20,"[0, 169, 284, 374, 464, 601, 691, 781, 919, 1309, 1444, 1604, 1920, 2191, 2338, 2433, 2771, 3600, 3981, 4138, 4412, 4670, 4765, 4968, 5193, 5470, 5565, 5794, 5890, 6459, 6882, 7182, 7664, 7810, 8206, 8526, 8626, 9035, 9522, 10052, 10152, 10360, 10652, 10906, 11006, 11322, 11545, 11860, 11966, 12207, 12476, 13400, 13877, 13983, 14434, 14676, 14782, 15220, 15596, 15837, 16077, 16414, 16800, 17575, 17681, 17787, 17899, 18471, 18704, 18952, 19064, 19481, 20051, 21289, 21711, 22236, 22676, 24150, 24481, 24875, 25160, 25408, 25670, 26427, 26617, 27423, 28309, 28504]",1.0,1.0,"[67, 2, 22, 20, 40]","[8, 97, 43, 27, 121]",True
7541784709,21,"[0, 243, 533, 750, 1096, 1335, 1785, 2126, 2783, 3331, 3674, 4207, 4599, 5326, 5727, 6320, 7081, 7786, 8380, 8984, 9497, 10015, 10991, 11854, 12647, 13782, 14858, 16472, 17080, 17531, 18082, 18596, 19102, 19394, 20727, 21306, 22070, 22784, 23098, 23271, 24586, 25042, 25433, 26348, 26632, 26843, 27265, 28156, 28903, 29603, 29805, 30556, 31164, 31308, 31448, 32202, 33068, 33380, 33832, 34794, 36062, 36483, 36844, 36950]",1.0,1.0,"[137, 65, 83, 38, 21]","[96, 41, 15, 20, 87]",False
7536677705,22,"[73, 326, 719, 1125, 1390, 1800, 2373, 2730, 3237, 3697, 4331, 4849, 5336, 6039, 6297, 6943, 7283, 7632, 8087, 8984, 9374, 9768, 10595, 11000, 11900, 12707, 13196, 13372, 13792, 13983, 14957, 15484, 16846, 17161, 18101, 18308, 18538, 18715, 19156, 19391, 19986, 20685, 21823, 22993, 23455, 24856, 25455, 26173, 26836, 27994, 29234, 29909, 30935, 31041, 31654, 32357, 32860, 33654, 34659, 35407, 35882, 36814, 38081, 38503, 39020, 40002, 40604, 43165, 44259, 44819, 46364, 47051, 48517, 49939, 51817, 52292, 53329, 54190, 54664, 56024, 56508, 57114, 58073, 58821, 59270, 60163, 60828, 61121, 62732, 62852, 63107, 64260, 66175, 66454, 67460, 67961, 68974]",2.0,2.0,"[113, 22, 96, 65, 105]","[94, 106, 69, 58, 121]",True
7611956203,23,"[0, 280, 488, 858, 1541, 1650, 2265, 2695, 3070, 3513, 3658, 4153, 4568, 5101, 5870, 6447, 6942, 7520, 7949, 9007, 9289, 9550, 10340, 10574, 10950, 11044, 12282, 12768, 13029, 13650, 14063, 14163, 14797, 15160, 16523, 17000, 18076, 18531, 18860, 19366, 19791, 20671, 20967, 21067, 21898, 22217, 22985, 24210, 24730, 26307, 26714, 26820, 27905, 28525, 28836, 29755, 30123, 30388, 31117, 31304, 32220, 32981, 33490, 33917, 34935, 35164, 35497, 36217, 36797, 36909, 37108, 37747, 39252]",1.0,3.0,"[28, 105, 20, 113, 120]","[72, 137, 63, 23, 121]",True
7522545002,25,"[0, 222, 592, 924, 1316, 1813, 2531, 3073, 3755, 4175, 4419, 4763, 5279, 5664, 6673, 6842, 7766, 8162, 8739, 9472, 9766, 10896, 12774, 13467, 14280, 14843, 16347, 17127, 18401, 19889, 20326, 21322, 22369, 23494, 24469, 25140, 25416, 26607, 27214, 28269, 30442, 32371, 33229, 33449, 34200, 34536, 34642, 35146, 36543, 37622, 38688, 39173, 40525, 41743, 42302, 42835]",2.0,2.0,"[93, 20, 47, 110, 14]","[70, 25, 29, 27, 121]",True
7606260002,26,"[0, 210, 344, 434, 572, 708, 798, 937, 1340, 1677, 2204, 2702, 2888, 3138, 3415, 3817, 4199, 4632, 4922, 5283, 5432, 6287, 6742, 6924, 7018, 7713, 7889, 8258, 8481, 8621, 8876, 9066, 9496, 10557, 10657, 11351, 11451, 11696, 11906, 12469, 12878, 13613, 14436, 14915, 15273, 15601, 15771, 16371, 16477, 16938, 17044, 17150, 17750, 17856, 18544, 19425, 19989, 20988, 21229, 21335]",3.0,3.0,"[45, 73, 21, 26, 28]","[98, 83, 15, 65, 106]",False
7548252414,27,"[100, 269, 359, 449, 652, 817, 953, 1043, 1178, 1529, 1664, 1875, 2150, 2433, 2695, 2893, 3497, 3820, 4008, 4322, 4653, 5090, 5412, 5554, 6807, 7182, 7309, 7512, 7865, 8344, 8668, 8926, 9026, 9374, 9623, 9939, 10240, 10640, 10839, 12099, 12446, 12669, 12804, 13185, 13656, 14010, 14391, 14746, 14973, 15615, 15940, 16046, 16360, 16750, 17108, 17361, 17540, 17646, 17954, 18235, 18650, 18824, 19715, 21286, 22017, 22666, 23083, 24071, 24551, 24965, 25749, 26959, 27435, 27933, 29394, 29936, 30365, 31610, 32084, 32909, 33471, 33764, 34277, 34632, 35432, 37571, 38241, 39549]",1.0,3.0,"[67, 2, 22, 20, 40]","[8, 97, 43, 27, 121]",False
7611956203,28,"[0, 130, 506, 753, 1162, 1424, 1803, 2222, 2587, 2973, 3482, 3930, 4508, 5492, 6126, 7151, 7541, 8495, 8712, 9201, 9603, 10166, 10650, 10994, 11324, 12537, 13115, 13467, 13786, 14096, 14290, 14523, 14841, 15494, 15594, 16320, 16420, 17109, 17626, 18126, 18795, 19290, 20104, 20293, 21638, 22219, 22324, 22969, 23075, 23812, 24672, 24895, 25417, 26331, 27099, 27809, 28201, 29896, 30697, 31174, 32001, 33275, 33923, 35612, 36154, 37503, 38531, 39299, 40285, 40831, 41325, 41774, 41887]",3.0,3.0,"[28, 105, 20, 113, 120]","[72, 137, 63, 23, 121]",False
7568433407,29,"[0, 169, 375, 704, 1154, 1591, 1911, 2261, 2652, 2742, 2926, 3253, 3540, 4242, 4692, 5466, 5665, 6249, 6663, 7277, 7647, 8082, 8546, 9025, 9587, 10268, 10733, 10914, 11390, 11675, 12598, 13321, 14339, 14645, 14927, 15027, 15379, 15562, 15761, 15996, 16589, 18191, 18816, 19211, 19506, 19952, 20491, 21526, 22008, 23226, 24186, 24408, 25050, 25733, 26119, 26225, 26695, 27871, 27977, 28218, 30187, 30789]",1.0,3.0,"[121, 123, 2, 71, 114]","[63, 29, 65, 100, 79]",True
7524401509,30,"[0, 205, 295, 385, 520, 728, 862, 952, 1181, 1330, 1500, 1798, 1979, 2176, 2319, 2430, 3334, 3492, 3586, 4233, 4385, 5435, 5820, 6558, 6757, 7156, 7899, 8257, 8668, 9075, 9381, 9602, 10196, 10468, 10610, 10972, 12719, 13003, 13284, 13550, 13843, 13985, 14193, 14609, 15988, 17433, 17606, 17939, 19091, 19271, 19452, 22051, 23382]",1.0,1.0,"[13, 10, 100, 30, 138]","[1, 25, 21, 112, 20]",True
7529378713,31,"[0, 311, 401, 491, 619, 709, 1098, 1278, 1458, 1548, 1939, 2356, 2446, 2714, 2982, 3933, 4389, 5230, 5325, 5461, 5733, 6326, 6493, 7026, 7449, 7615, 8133, 8382, 8803, 9422, 10272, 11470, 12534, 12992, 13092, 13430, 13689, 14372, 14905, 15397, 15537, 16858, 17796, 18433, 18641, 20097, 20967, 21271, 21693, 22051, 22157, 23374]",3.0,1.0,"[76, 85, 43, 53, 19]","[80, 31, 23, 112, 26]",True
7553654119,32,"[144, 431, 628, 849, 1140, 1492, 1713, 2085, 2363, 2621, 3016, 3310, 3798, 4566, 4935, 5400, 5711, 6614, 7081, 7742, 8169, 8595, 8816, 9279, 9922, 10279, 10858, 12006, 12267, 12826, 12922, 13636, 14774, 15703, 16056, 16716, 17652, 18819, 20004, 21592, 23014, 23851, 25102, 25202, 25582, 25983, 26463, 27124, 27545, 27651, 28216, 29538, 29644, 29750, 30980, 32458, 33253, 33993, 34594, 34987, 35693, 35799]",1.0,1.0,"[32, 83, 97, 45, 90]","[21, 51, 120, 23, 112]",False
7588655005,33,"[0, 170, 260, 350, 566, 745, 1071, 1243, 1431, 1625, 2140, 2537, 2746, 3406, 3900, 4413, 4908, 5356, 5733, 6499, 7239, 7797, 8319, 9044, 9750, 10403, 10883, 11400, 12102, 12273, 12626, 13052, 14037, 14602, 15185, 15397, 15789, 16064, 16860, 17174, 17919, 19112, 19355, 19859, 19959, 20193, 20804, 21148, 21254, 21360, 21914, 22020, 22860, 23533, 23979, 24795, 25543, 25649]",3.0,1.0,"[112, 106, 96, 123, 94]","[10, 120, 69, 20, 33]",False
7581196114,34,"[0, 214, 500, 906, 1289, 1632, 1851, 2111, 2447, 2732, 3010, 3453, 3543, 3638, 3918, 4594, 5207, 5587, 5908, 6286, 6381, 7099, 7559, 8062, 8736, 9064, 9650, 9945, 10236, 10862, 11559, 13968, 14987, 16100, 17439, 18101, 18662, 20374, 20474, 20966, 22355, 24163, 24547, 25724, 27248, 27458, 29385, 30331, 31141, 32101, 32965, 34140, 34246]",2.0,2.0,"[34, 20, 101, 41, 28]","[86, 98, 25, 26, 94]",False
7625796211,35,"[0, 127, 376, 734, 1110, 1274, 1626, 2234, 2630, 3077, 3856, 4362, 5128, 5672, 6424, 7043, 7733, 8306, 8851, 9352, 9841, 10898, 11582, 12305, 12926, 13633, 14170, 14424, 14756, 15346, 15754, 16223, 17272, 17711, 17811, 18024, 18647, 18985, 19807, 20139, 20352, 20613, 20713, 21115, 21532, 21632, 22660, 23375, 23597, 24084, 24524, 25050, 26568, 26674, 27092, 27237, 27953, 28337, 28835, 29680, 30327, 31223, 32665, 34377, 35056, 35666, 36321, 36893, 37440, 37785, 38051, 39012]",2.0,2.0,"[85, 44, 97, 9, 126]","[109, 35, 104, 86, 110]",True
7549256701,36,"[0, 331, 658, 1074, 1415, 1660, 2150, 2493, 3183, 3397, 3952, 4394, 4745, 5230, 5775, 6051, 6590, 7396, 8098, 8681, 9894, 10184, 10507, 11033, 11241, 12047, 13843, 14557, 15058, 16434, 17117, 18242, 18342, 19644, 20891, 22348, 22689, 23485, 24029, 24535, 25759, 25954, 27471, 29275, 29962, 31245, 33095, 34548, 35780, 35886, 35992, 36562, 38100, 40992, 42448, 43750, 44953]",1.0,1.0,"[120, 83, 36, 28, 121]","[26, 95, 74, 60, 112]",True
7570812500,37,"[0, 170, 260, 398, 528, 618, 727, 817, 952, 1077, 1304, 1443, 1667, 1875, 2214, 2498, 2676, 3041, 3586, 3947, 4041, 4375, 4617, 4787, 5007, 5901, 6159, 6895, 7606, 7912, 8240, 8500, 9423, 9952, 10809, 12620, 13142, 13547, 13795, 14149, 14946, 15222, 15655, 15863, 16130, 16616, 16834, 17065, 17541, 18038, 18851, 19870, 20102, 21328, 21989, 22429, 22535, 22734, 22840, 24228, 24548, 25287, 26392]",1.0,3.0,"[123, 17, 38, 10, 21]","[95, 57, 37, 98, 86]",True
7541784709,38,"[0, 168, 471, 772, 1554, 1987, 2387, 2738, 3333, 3929, 4251, 4609, 4984, 5666, 6252, 6939, 7898, 8535, 9243, 9879, 10481, 11068, 11603, 12716, 13755, 14521, 15478, 16787, 17038, 17429, 17789, 18237, 18397, 18880, 19165, 19659, 19921, 20021, 20430, 20945, 21582, 22786, 23486, 23987, 24716, 26051, 26664, 27357, 28487, 29205, 29774, 30510, 30757, 30998, 31962, 32449, 32986, 33291, 34062, 34810, 35293, 36077, 37000, 37106]",3.0,3.0,"[137, 65, 83, 38, 21]","[96, 41, 15, 20, 87]",False
7561841307,39,"[0, 298, 569, 905, 1180, 1512, 1803, 2428, 2704, 2956, 3159, 3712, 4084, 4526, 4901, 5548, 5812, 6316, 6817, 7897, 9122, 9658, 10372, 10822, 11601, 12651, 13546, 13957, 15041, 16219, 16506, 17661, 18106, 18791, 20328, 21129, 21275, 21375, 22594, 23147, 23555, 24015, 24318, 25143, 25556, 26044, 26949, 27509, 28297, 29046, 29471, 31466, 31946, 32822, 33406]",2.0,2.0,"[80, 129, 20, 45, 39]","[21, 136, 106, 10, 137]",False
7548252414,40,"[0, 517, 632, 722, 904, 1004, 1141, 1415, 1505, 1845, 2067, 2389, 2908, 3034, 3444, 3640, 3944, 4587, 5079, 5514, 6035, 6419, 6852, 7396, 7888, 8334, 8477, 8816, 9040, 9445, 9805, 10297, 10912, 11430, 11620, 12117, 12514, 12923, 13541, 14911, 15589, 15797, 16122, 16375, 16701, 17017, 17279, 18145, 18349, 18590, 18822, 20243, 20600, 20755, 20961, 21067, 21266, 21696, 22384, 22723, 23472, 24068, 25212, 26310, 26932, 27382, 27523, 28345, 28815, 29160, 29462, 30528, 31978, 33410, 34042, 35010, 35770, 37387, 37858, 38414, 38612, 38860, 39651, 40617, 41126, 41908, 43200, 44175]",3.0,3.0,"[67, 2, 22, 20, 40]","[8, 97, 43, 27, 121]",True
7541784709,41,"[0, 245, 447, 766, 1016, 1258, 1616, 2017, 2262, 2631, 2990, 3382, 3748, 4178, 4789, 5165, 5634, 5974, 6446, 6768, 7246, 7828, 8287, 9007, 9762, 9857, 10515, 11306, 12858, 13415, 14920, 15795, 16090, 17224, 17920, 18382, 19794, 20105, 20827, 21553, 22599, 23216, 24558, 25717, 26405, 27631, 28312, 29316, 30498, 32073, 33514, 35318, 37025, 38916, 39383, 40679, 41730, 43025, 44297, 45831, 47506, 48387, 49107, 50291]",3.0,1.0,"[137, 65, 83, 38, 21]","[96, 41, 15, 20, 87]",True
7589043306,42,"[0, 285, 642, 964, 1380, 1899, 2180, 2816, 3265, 3727, 4298, 4634, 5369, 5978, 6576, 6950, 7829, 8633, 9660, 10221, 10618, 11634, 12648, 13827, 14510, 15951, 17073, 18400, 19506, 20194, 21257, 22032, 23290, 23743, 24306, 25143, 25870, 27967, 28673, 29937, 30689, 30836, 30936, 32308, 33014, 33329, 33669, 35377, 36431, 37644, 38364, 39696]",2.0,2.0,"[17, 43, 14, 19, 20]","[42, 98, 26, 72, 80]",True
